pair,date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
audcad,2026-06-03,0.99018,1.481,0.0,-2.812,-0.4643,-0.0988,,,,,insufficient_history
audchf,2026-06-03,0.56446,4.519,0.0,-6.8222,-1.6868,7.0634,,,,,insufficient_history
audjpy,2026-06-03,114.059,2.274,0.0,-6.4511,-0.4286,-16.2712,,,,,insufficient_history
audnzd,2026-06-03,1.21552,0.366,0.0,4.435,-2.8551,-1.3959,,,,,insufficient_history
audusd,2026-06-03,0.71301,0.426,0.0,-1.2853,0.7844,-0.8032,,,,,insufficient_history
cadchf,2026-06-03,0.56967,3.038,0.0,-4.0102,-1.2225,7.1622,,,,,insufficient_history
cadjpy,2026-06-03,115.134,0.793,0.0,-3.6391,0.0357,-16.1724,,,,,insufficient_history
chfjpy,2026-06-03,202.008,-2.245,0.0,0.3711,1.2582,-23.3346,,,,,insufficient_history
euraud,2026-06-03,1.62574,-1.8793,0.0,4.305,0.4452,0.2064,,,,,insufficient_history
eurcad,2026-06-03,1.61129,-0.3983,0.0,1.493,-0.0191,0.1076,,,,,insufficient_history
eurchf,2026-06-03,0.91836,2.6397,0.0,-2.5172,-1.2416,7.2698,,,,,insufficient_history
eurgbp,2026-06-03,0.86413,-1.9023,0.0,2.9831,3.6824,-1.2924,,,,,insufficient_history
eurjpy,2026-06-03,185.583,0.3947,0.0,-2.1461,0.0166,-16.0648,,,,,insufficient_history
eurnok,2026-06-03,10.811,-1.3483,0.0,-18.8166,-5.9406,0.0187,,,,,insufficient_history
eurnzd,2026-06-03,1.9784,-1.5133,0.0,8.74,-2.4099,-1.1895,,,,,insufficient_history
eursek,2026-06-03,10.9085,0.1637,0.0,-3.9631,0.6242,-1.5365,,,,,insufficient_history
eurusd,2026-06-03,1.16023,-1.4533,0.0,3.0197,1.2296,-0.5968,,,,,insufficient_history
gbpaud,2026-06-03,1.88117,0.023,0.0,1.3219,-3.2372,1.4988,,,,,insufficient_history
gbpcad,2026-06-03,1.86396,1.504,0.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
gbpchf,2026-06-03,1.06255,4.542,0.0,-5.5003,-4.924,8.5622,,,,,insufficient_history
gbpjpy,2026-06-03,214.699,2.297,0.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
gbpnzd,2026-06-03,2.2871,0.389,0.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
gbpusd,2026-06-03,1.34178,0.449,0.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
nzdcad,2026-06-03,0.81404,1.115,0.0,-7.247,2.3908,1.2971,,,,,insufficient_history
nzdchf,2026-06-03,0.46385,4.153,0.0,-11.2572,1.1683,8.4593,,,,,insufficient_history
nzdjpy,2026-06-03,93.743,1.908,0.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
nzdusd,2026-06-03,0.58613,0.06,0.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
usdcad,2026-06-03,1.38956,-1.055,0.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
usdchf,2026-06-03,0.79184,-4.093,0.0,5.5369,2.4712,-7.8666,,,,,insufficient_history
usdjpy,2026-06-03,160.024,-1.848,0.0,5.1658,1.213,15.468,,,,,insufficient_history
usdnok,2026-06-03,9.3206,-0.105,0.0,21.8363,7.1702,-0.6155,,,,,insufficient_history
usdsek,2026-06-03,9.3939,-1.617,0.0,6.9828,0.6054,0.9397,,,,,insufficient_history
audcad,2026-06-04,0.99134,1.483,0.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
