date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.99018,1.481,0.0,-2.812,-0.4643,-0.0988,,,,,insufficient_history
2026-06-04,0.99134,1.483,0.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
2026-06-05,0.98136,1.441,2.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
2026-06-08,0.98258,1.442,1.0,-2.812,0.0287,-0.0988,,,,,insufficient_history
2026-06-09,0.98021,1.433,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-10,0.97538,1.4,2.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-11,0.98389,1.492,2.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-12,0.98476,1.419,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-15,0.98939,1.395,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-16,0.98856,1.444,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-17,0.98828,1.349,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-18,0.99074,1.409,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-22,0.9912,1.372,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-23,0.98229,1.345,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-24,0.98155,1.415,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-25,0.98051,1.349,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-26,0.97751,1.341,1.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-29,0.97836,1.384,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-06-30,0.98149,1.347,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-07-01,0.97967,1.407,0.0,-2.812,-0.0845,-0.0988,,,,,insufficient_history
2026-07-02,0.98122,1.378,1.0,-2.812,-0.7373,-0.0988,,,,,insufficient_history
2026-07-06,0.98789,1.375,0.0,-2.812,-0.7373,-0.0988,,,,,insufficient_history
2026-07-07,0.98346,1.332,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-08,0.9819,1.315,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-09,0.98272,1.359,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-10,0.98354,1.324,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-13,0.97909,1.301,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-14,0.98032,1.333,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-15,0.98291,1.371,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-16,0.98198,1.365,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-17,0.97831,1.342,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-20,0.98363,1.397,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-21,0.98711,1.386,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-22,0.98542,1.384,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-23,0.98118,1.365,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-24,0.98316,1.481,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-27,0.98689,1.447,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-28,0.98356,1.44,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-29,0.97674,1.321,3.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-30,0.98429,1.41,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-07-31,0.98385,1.275,1.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-08-03,0.9828,1.317,0.0,-2.812,-0.9203,-0.0988,,,,,insufficient_history
2026-08-04,0.99048,1.42,0.0,-2.812,-0.8745,-0.0988,,,,,insufficient_history
2026-08-05,0.98891,1.347,1.0,-2.812,-0.8745,-0.0988,,,,,insufficient_history
2026-08-06,0.98539,1.298,0.0,-2.812,-0.2029,-0.0988,,,,,insufficient_history
2026-08-07,0.98529,1.342,1.0,-2.812,-0.2029,-0.0988,,,,,insufficient_history
2026-08-10,0.98284,1.256,0.0,-2.812,-0.2029,-0.0988,,,,,insufficient_history
2026-08-11,0.98285,1.303,0.0,-2.812,-0.2029,-0.0988,,,,,insufficient_history
2026-08-12,0.98403,1.311,0.0,-2.812,-0.2029,-0.0988,,,,,insufficient_history
