date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.56446,4.519,0.0,-6.8222,-1.6868,7.0634,,,,,insufficient_history
2026-06-04,0.56271,4.523,0.0,-6.8222,-1.1938,7.0634,,,,,insufficient_history
2026-06-05,0.56047,4.49,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-08,0.56177,4.54,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-09,0.56066,4.505,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-10,0.55951,4.46,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-11,0.5601,4.475,2.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-12,0.561,4.424,0.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-15,0.56141,4.452,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-16,0.56034,4.494,0.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-17,0.5608,4.452,1.0,-6.8222,-1.1938,-3.2325,,,,,insufficient_history
2026-06-18,0.56421,4.461,0.0,-6.8222,-2.2714,-3.2325,,,,,insufficient_history
2026-06-22,0.5659,4.494,0.0,-6.8222,-2.2714,-3.2325,,,,,insufficient_history
2026-06-23,0.56,4.484,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-06-24,0.56009,4.507,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-06-25,0.55923,4.478,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-06-26,0.55825,4.484,1.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-06-29,0.55626,4.496,0.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-06-30,0.55897,4.458,0.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-07-01,0.55736,4.509,0.0,-10.6389,-2.2714,-3.2325,,,,,insufficient_history
2026-07-02,0.55581,4.515,1.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-06,0.5598,4.468,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-07,0.55927,4.481,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-08,0.55953,4.507,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-09,0.55957,4.5,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-10,0.56209,4.437,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-13,0.56335,4.459,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-14,0.56407,4.491,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-15,0.5634,4.489,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-16,0.56574,4.475,0.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-17,0.5633,4.474,1.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-20,0.56599,4.507,1.0,-10.6389,-2.9242,-3.2325,,,,,insufficient_history
2026-07-21,0.56843,4.499,0.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-22,0.56963,4.522,0.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-23,0.56883,4.488,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-24,0.57105,4.621,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-27,0.5725,4.582,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-28,0.57078,4.57,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-29,0.56606,4.486,3.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-30,0.56529,4.588,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-07-31,0.5664,4.528,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-08-03,0.5668,4.582,0.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-08-04,0.56996,4.595,0.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-08-05,0.56959,4.538,1.0,-10.6389,-2.116,-3.2325,,,,,insufficient_history
2026-08-06,0.57113,4.587,0.0,-10.6389,-1.4444,-3.2325,,,,,insufficient_history
2026-08-07,0.57085,4.629,1.0,-10.6389,-1.4444,-3.2325,,,,,insufficient_history
2026-08-10,0.57124,4.575,0.0,-10.6389,-1.4444,-3.2325,,,,,insufficient_history
2026-08-11,0.57206,4.587,0.0,-10.6389,-1.4444,-3.2325,,,,,insufficient_history
