date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,114.059,2.274,0.0,-6.4511,-0.4286,-16.2712,,,,,insufficient_history
2026-06-04,114.095,2.246,0.0,-6.4511,0.0644,-16.2712,,,,,insufficient_history
2026-06-05,112.901,2.246,2.0,-6.4511,0.0644,-16.2712,,,,,insufficient_history
2026-06-08,112.79,2.249,1.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
2026-06-09,112.66,2.253,1.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
2026-06-10,112.317,2.214,2.0,-5.9923,0.0644,-16.2712,,,,,insufficient_history
2026-06-11,112.662,2.216,2.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
2026-06-12,112.872,2.178,0.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
2026-06-15,113.348,2.227,1.0,-5.9923,0.0644,14.5236,,,,,insufficient_history
2026-06-16,113.308,2.187,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-17,112.659,2.168,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-18,113.124,2.164,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-22,113.091,2.13,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-23,111.696,2.103,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-24,111.588,2.107,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-25,111.763,2.108,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-26,111.493,2.124,1.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-29,111.479,2.122,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-06-30,112.365,2.051,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-07-01,112.037,2.085,0.0,-5.9923,0.4673,14.5236,,,,,insufficient_history
2026-07-02,111.457,2.048,1.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-06,112.626,1.961,0.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-07,112.274,1.976,0.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-08,112.603,2.011,0.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-09,112.677,2.006,0.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-10,112.357,2.072,0.0,-5.9923,-0.1855,14.5236,,,,,insufficient_history
2026-07-13,112.311,2.074,0.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-14,113.144,2.192,0.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-15,113.513,2.215,0.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-16,113.534,2.184,0.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-17,113.351,2.192,1.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-20,113.612,2.243,1.0,-5.9923,-0.1855,-2.3496,,,,,insufficient_history
2026-07-21,114.182,2.222,0.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-22,114.123,2.234,0.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-23,114.127,2.235,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-24,114.241,2.274,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-27,114.445,2.229,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-28,114.228,2.19,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-29,113.598,2.17,3.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-30,112.014,2.198,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-07-31,110.478,2.144,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-08-03,109.98,2.159,0.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-08-04,111.074,2.121,0.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-08-05,111.293,2.101,1.0,-5.9923,-0.1688,-2.3496,,,,,insufficient_history
2026-08-06,111.358,2.162,0.0,-5.9923,0.5028,-2.3496,,,,,insufficient_history
2026-08-07,111.407,2.185,1.0,-5.9923,0.5028,-2.3496,,,,,insufficient_history
2026-08-10,112.32,2.168,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-11,112.435,2.205,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-12,112.543,2.152,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-13,112.569,2.093,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-14,112.828,2.104,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-17,113.267,2.1,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-18,113.092,2.135,0.0,-4.2256,0.5028,-2.3496,,,,,insufficient_history
2026-08-19,112.673,2.13,1.0,-4.2256,0.6376,-2.3496,,,,,insufficient_history
2026-08-20,113.114,2.2762,0.0,-4.2256,0.6376,-2.3496,,,,,insufficient_history
2026-08-21,113.964,2.15,0.0,-4.2256,0.6376,-2.3496,,,,,insufficient_history
