date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.21552,0.366,0.0,4.435,-2.8551,-1.3959,,,,,insufficient_history
2026-06-04,1.21519,0.37,0.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-05,1.21473,0.384,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-08,1.21182,0.372,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-09,1.2074,0.361,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-10,1.20674,0.357,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-11,1.20726,0.351,2.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-12,1.20659,0.351,0.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-15,1.21358,0.398,1.0,4.435,-2.3621,-1.3959,,,,,insufficient_history
2026-06-16,1.21107,0.385,0.0,-2.3087,-2.3621,-1.3959,,,,,insufficient_history
2026-06-17,1.21507,0.389,1.0,-2.3087,-2.3621,-1.3959,,,,,insufficient_history
2026-06-18,1.21783,0.343,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-22,1.22511,0.356,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-23,1.21959,0.364,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-24,1.22056,0.395,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-25,1.22278,0.391,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-26,1.22139,0.367,1.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-29,1.21774,0.378,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-06-30,1.2182,0.369,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-07-01,1.21495,0.379,0.0,-2.3087,-0.8424,-1.3959,,,,,insufficient_history
2026-07-02,1.21456,0.373,1.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-06,1.2187,0.374,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-07,1.21978,0.396,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-08,1.21478,0.374,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-09,1.20554,0.305,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-10,1.20538,0.257,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-13,1.20223,0.256,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-14,1.19771,0.247,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-15,1.19606,0.222,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-16,1.19641,0.246,0.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-17,1.19387,0.252,1.0,-2.3087,-1.4952,-1.3959,,,,,insufficient_history
2026-07-20,1.19721,0.252,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-21,1.20022,0.268,0.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-22,1.20176,0.276,0.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-23,1.20616,0.288,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-24,1.20491,0.297,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-27,1.20974,0.294,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-28,1.20489,0.251,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-29,1.19927,0.268,3.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-30,1.1946,0.27,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-07-31,1.19232,0.27,1.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
2026-08-03,1.19158,0.242,0.0,-2.3087,-0.4368,-1.3959,,,,,insufficient_history
