date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.71301,0.426,0.0,-1.2853,0.7844,-0.8032,,,,,insufficient_history
2026-06-04,0.71357,0.45,0.0,-1.2853,1.2774,-0.8032,,,,,insufficient_history
2026-06-05,0.70462,0.364,2.0,-1.2853,1.2774,-0.8032,,,,,insufficient_history
2026-06-08,0.70477,0.412,1.0,-1.2853,1.2774,-0.8032,,,,,insufficient_history
2026-06-09,0.70299,0.391,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-10,0.69994,0.347,2.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-11,0.70537,0.451,2.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-12,0.70487,0.341,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-15,0.70726,0.338,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-16,0.70696,0.405,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-17,0.70161,0.279,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-18,0.70161,0.323,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-22,0.70028,0.296,0.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-23,0.69185,0.284,1.0,-1.2853,0.9448,-0.8032,,,,,insufficient_history
2026-06-24,0.69027,0.365,1.0,-0.8322,0.9448,-0.8032,,,,,insufficient_history
2026-06-25,0.69128,0.331,1.0,-0.8322,0.9448,-0.8032,,,,,insufficient_history
2026-06-26,0.68961,0.347,1.0,-0.8322,1.5712,-0.8032,,,,,insufficient_history
2026-06-29,0.6889,0.378,0.0,-0.8322,1.5712,-0.8032,,,,,insufficient_history
2026-06-30,0.69223,0.289,0.0,-0.8322,1.5712,-0.8032,,,,,insufficient_history
2026-07-01,0.68961,0.309,0.0,-0.8322,1.5712,-0.8032,,,,,insufficient_history
2026-07-02,0.69242,0.333,1.0,-0.8322,0.9184,-0.8032,,,,,insufficient_history
2026-07-06,0.69589,0.314,0.0,-0.8322,0.9184,-0.8032,,,,,insufficient_history
2026-07-07,0.69314,0.276,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-08,0.69329,0.324,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-09,0.6944,0.345,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-10,0.69556,0.277,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-13,0.69195,0.246,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-14,0.69769,0.327,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-15,0.70087,0.352,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-16,0.69999,0.326,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-17,0.69842,0.352,1.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-20,0.70013,0.362,1.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-21,0.70003,0.318,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-22,0.69999,0.306,0.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-23,0.69701,0.298,1.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-24,0.69857,0.397,1.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-27,0.6992,0.354,1.0,-0.8322,0.5644,-0.8032,,,,,insufficient_history
2026-07-28,0.69769,0.361,1.0,-0.8322,0.8644,-0.8032,,,,,insufficient_history
2026-07-29,0.69575,0.248,3.0,-0.8322,0.8644,-0.8032,,,,,insufficient_history
2026-07-30,0.70323,0.32,1.0,-0.8322,0.8644,-0.8032,,,,,insufficient_history
2026-07-31,0.7024,0.19,1.0,-0.8322,0.8644,-0.8032,,,,,insufficient_history
2026-08-03,0.70028,0.282,0.0,-0.8322,0.8644,-0.8032,,,,,insufficient_history
2026-08-04,0.70492,0.339,0.0,-0.8322,0.5104,-0.8032,,,,,insufficient_history
2026-08-05,0.70597,0.278,1.0,-0.8322,0.5104,-0.8032,,,,,insufficient_history
2026-08-06,0.70343,0.234,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-07,0.70696,0.335,1.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-10,0.70567,0.257,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-11,0.70646,0.311,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-12,0.70656,0.323,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-13,0.70621,0.337,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-14,0.70872,0.302,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-17,0.71073,0.302,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-18,0.70892,0.363,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-19,0.71271,0.378,1.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-20,0.712,0.354,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-21,0.7175,0.292,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-22,0.7175,0.292,1.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-24,0.7152,0.316,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-25,0.7167,0.372,0.0,-0.8322,1.182,-0.9525,,,,,insufficient_history
2026-08-27,0.7186,0.43,0.0,-0.8322,1.7532,-0.9525,0.709268,2.1062,0,Solid,computed
2026-08-28,0.7203,0.41,0.0,-0.8322,1.7532,-0.9525,0.710311,2.2128,0,Solid,computed
2026-09-01,0.7177,0.37,0.0,-0.8457,1.7532,-0.9525,0.710012,1.6975,0,Solid,computed
2026-09-02,0.7167,0.4,0.0,-0.8322,1.182,-0.9584,0.70724,1.4367,100,Solid,computed
2026-09-03,0.7203,0.38,0.0,-0.8322,1.182,-0.9584,0.707298,1.9521,100,Solid,computed
