date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,202.008,-2.245,0.0,0.3711,1.2582,-23.3346,,,,,insufficient_history
2026-06-04,202.63,-2.277,0.0,0.3711,1.2582,-23.3346,,,,,insufficient_history
2026-06-05,201.376,-2.244,2.0,0.3711,1.2582,-13.0387,,,,,insufficient_history
2026-06-08,200.715,-2.291,1.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
2026-06-09,200.935,-2.252,1.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
2026-06-10,200.694,-2.246,2.0,0.8299,1.2582,-13.0387,,,,,insufficient_history
2026-06-11,201.151,-2.259,2.0,0.8299,1.2582,17.7561,,,,,insufficient_history
2026-06-12,200.96,-2.246,0.0,0.8299,1.2582,17.7561,,,,,insufficient_history
2026-06-15,201.89,-2.225,1.0,0.8299,1.2582,17.7561,,,,,insufficient_history
2026-06-16,202.204,-2.307,0.0,0.8299,1.6611,17.7561,,,,,insufficient_history
2026-06-17,200.842,-2.284,1.0,0.8299,1.6611,17.7561,,,,,insufficient_history
2026-06-18,200.506,-2.297,0.0,0.8299,2.7387,17.7561,,,,,insufficient_history
2026-06-22,199.819,-2.364,0.0,0.8299,2.7387,17.7561,,,,,insufficient_history
2026-06-23,199.514,-2.381,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-06-24,199.126,-2.4,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-06-25,199.654,-2.37,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-06-26,199.685,-2.36,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-06-29,200.377,-2.374,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-06-30,201.088,-2.407,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-01,200.814,-2.424,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-02,200.49,-2.467,1.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-06,201.285,-2.507,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-07,200.638,-2.505,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-08,201.247,-2.496,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-09,201.175,-2.494,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-10,200.0,-2.365,0.0,4.6466,2.7387,17.7561,,,,,insufficient_history
2026-07-13,199.352,-2.385,0.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-14,200.486,-2.299,0.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-15,201.423,-2.274,0.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-16,200.696,-2.291,0.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-17,201.133,-2.282,1.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-20,200.525,-2.264,1.0,4.6466,2.7387,0.8829,,,,,insufficient_history
2026-07-21,200.756,-2.277,0.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-22,200.282,-2.288,0.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-23,200.618,-2.253,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-24,200.22,-2.347,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-27,199.871,-2.353,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-28,200.084,-2.38,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-29,200.718,-2.316,3.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-30,198.131,-2.39,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
2026-07-31,194.859,-2.384,1.0,4.6466,1.9472,0.8829,,,,,insufficient_history
