date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.62574,-1.8793,0.0,4.305,0.4452,0.2064,,,,,insufficient_history
2026-06-04,1.62716,-1.8963,0.0,4.305,-0.0478,0.2064,,,,,insufficient_history
2026-06-05,1.63411,-1.8764,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-08,1.637,-1.9159,1.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-09,1.64126,-1.8643,1.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-10,1.64708,-1.8284,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-11,1.64184,-1.8753,2.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-12,1.6418,-1.8217,0.0,4.305,-0.0478,0.839,,,,,insufficient_history
2026-06-15,1.63767,-1.8566,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-16,1.64183,-1.895,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-17,1.63962,-1.843,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-18,1.63264,-1.8599,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-22,1.63102,-1.8546,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-23,1.64516,-1.8672,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-24,1.64492,-1.9045,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-25,1.64491,-1.872,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-26,1.65076,-1.879,1.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-29,1.65758,-1.898,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-06-30,1.65023,-1.8645,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
2026-07-01,1.65028,-1.9121,0.0,4.305,-0.2681,0.839,,,,,insufficient_history
