date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.61129,-0.3983,0.0,1.493,-0.0191,0.1076,,,,,insufficient_history
2026-06-04,1.61432,-0.4133,0.0,1.493,-0.0191,0.1076,,,,,insufficient_history
2026-06-05,1.60504,-0.4354,2.0,1.493,-0.0191,0.7402,,,,,insufficient_history
2026-06-08,1.60884,-0.4739,1.0,1.493,-0.0191,0.7402,,,,,insufficient_history
2026-06-09,1.60966,-0.4313,1.0,1.493,-0.1323,0.7402,,,,,insufficient_history
2026-06-10,1.60801,-0.4284,2.0,1.493,-0.1323,0.7402,,,,,insufficient_history
2026-06-11,1.61658,-0.3833,2.0,1.493,-0.1323,0.7402,,,,,insufficient_history
2026-06-12,1.61804,-0.4027,0.0,1.493,-0.1323,0.7402,,,,,insufficient_history
2026-06-15,1.62128,-0.4616,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-16,1.62415,-0.451,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-17,1.62098,-0.494,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-18,1.61868,-0.4509,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-22,1.61769,-0.4826,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-23,1.61696,-0.5222,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-24,1.61556,-0.4895,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-25,1.6142,-0.523,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-26,1.61554,-0.538,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-29,1.62278,-0.514,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-06-30,1.62105,-0.5175,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-07-01,1.61697,-0.5051,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-07-02,1.62063,-0.5466,1.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-07-06,1.62485,-0.4738,0.0,1.493,-0.3526,0.7402,,,,,insufficient_history
2026-07-07,1.62026,-0.5065,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-08,1.61777,-0.4806,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-09,1.61885,-0.4732,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-10,1.61491,-0.4783,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-13,1.61078,-0.4919,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-14,1.60515,-0.5039,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-15,1.60963,-0.4456,0.0,1.493,-0.5356,0.7402,,,,,insufficient_history
2026-07-16,1.60608,-0.3934,0.0,1.493,-0.7059,0.7402,,,,,insufficient_history
2026-07-17,1.60328,-0.4366,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-20,1.60541,-0.4173,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-21,1.60768,-0.3965,0.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-22,1.60711,-0.4125,0.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-23,1.60186,-0.4315,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-24,1.60264,-0.4332,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-27,1.6054,-0.4295,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-28,1.60591,-0.4223,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-29,1.61041,-0.4411,3.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-30,1.61473,-0.4218,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-07-31,1.61523,-0.4614,1.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-08-03,1.61613,-0.5131,0.0,1.2397,-0.7059,0.7402,,,,,insufficient_history
2026-08-04,1.62121,-0.4327,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-05,1.61877,-0.4573,1.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-06,1.61447,-0.5003,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-07,1.61111,-0.5135,1.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-10,1.60847,-0.5443,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-11,1.60684,-0.551,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-12,1.60663,-0.535,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-13,1.6053,-0.487,0.0,1.2397,-0.6601,0.7402,,,,,insufficient_history
2026-08-14,1.6048,-0.4792,0.0,1.2397,-0.2495,0.7402,,,,,insufficient_history
2026-08-17,1.60621,-0.5041,0.0,1.2397,-0.2495,0.7402,,,,,insufficient_history
2026-08-18,1.60826,-0.436,0.0,1.2397,-0.2495,0.7402,,,,,insufficient_history
2026-08-19,1.61196,-0.4315,1.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-20,1.6104,-0.4818,0.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-21,1.6072,-0.49,0.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-22,1.607,-0.49,1.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-24,1.6148,-0.16,0.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-25,1.6153,-0.1396,0.0,1.7434,-0.2495,0.7402,,,,,insufficient_history
2026-08-27,1.6177,-0.43,0.0,-0.1834,-0.2495,0.7402,1.606636,1.8132,100,Solid,computed
2026-08-28,1.6128,-0.45,0.0,-0.1834,-0.2495,0.7402,1.612228,0.0918,100,Solid,computed
2026-09-01,1.6093,-0.42,0.0,-0.1834,-0.2495,0.7402,1.612548,-0.5208,100,Regularized,computed
2026-09-02,1.6037,-0.43,0.0,0.1146,-0.2495,0.3736,1.612638,-1.455,100,Regularized,computed
