date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.91836,2.6397,0.0,-2.5172,-1.2416,7.2698,,,,,insufficient_history
2026-06-04,0.91644,2.6267,0.0,-2.5172,-1.2416,7.2698,,,,,insufficient_history
2026-06-05,0.9173,2.6136,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-08,0.91951,2.6241,1.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-09,0.92098,2.6407,1.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-10,0.92228,2.6316,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-11,0.91976,2.5997,2.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-12,0.92186,2.6023,0.0,-2.5172,-1.2416,-2.3935,,,,,insufficient_history
2026-06-15,0.92008,2.5954,1.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
2026-06-16,0.92053,2.599,0.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
2026-06-17,0.91966,2.609,1.0,-2.5172,-1.4619,-2.3935,,,,,insufficient_history
2026-06-18,0.9217,2.6011,0.0,-2.5172,-2.5395,-2.3935,,,,,insufficient_history
2026-06-22,0.92326,2.6394,0.0,-2.5172,-2.5395,-2.3935,,,,,insufficient_history
2026-06-23,0.92131,2.6168,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-06-24,0.92226,2.6025,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-06-25,0.92043,2.606,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-06-26,0.92187,2.605,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-06-29,0.92301,2.598,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-06-30,0.92262,2.5935,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-01,0.92051,2.5969,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-02,0.91827,2.5904,1.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-06,0.92076,2.6192,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-07,0.9219,2.6425,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-08,0.92252,2.7114,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-09,0.92181,2.6678,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-10,0.9227,2.6347,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-13,0.92704,2.6661,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-14,0.92374,2.6541,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-15,0.92268,2.6724,0.0,-6.3339,-2.5395,-2.3935,,,,,insufficient_history
2026-07-16,0.92514,2.7166,0.0,-6.3339,-2.7098,-2.3935,,,,,insufficient_history
2026-07-17,0.9233,2.6954,1.0,-6.5872,-2.7098,-2.3935,,,,,insufficient_history
2026-07-20,0.92404,2.6927,1.0,-6.5872,-2.7098,-2.3935,,,,,insufficient_history
2026-07-21,0.92593,2.7165,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-22,0.92922,2.7255,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-23,0.92828,2.6915,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-24,0.93018,2.7068,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-27,0.9313,2.7055,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-28,0.93264,2.7077,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-29,0.93253,2.7239,3.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-30,0.92765,2.7562,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-07-31,0.9305,2.7916,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-03,0.93194,2.7519,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-04,0.93258,2.7423,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-05,0.93221,2.7337,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-06,0.93578,2.7887,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-07,0.93346,2.7735,1.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-10,0.93504,2.7747,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-11,0.93572,2.733,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-12,0.93646,2.785,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-13,0.93814,2.786,0.0,-6.5872,-1.9016,-2.3935,,,,,insufficient_history
2026-08-14,0.9409,2.8208,0.0,-6.5872,-1.491,-2.3935,,,,,insufficient_history
2026-08-17,0.93876,2.8249,0.0,-6.5872,-1.491,-2.3935,,,,,insufficient_history
2026-08-18,0.93995,2.85,0.0,-6.5872,-1.491,-2.3935,,,,,insufficient_history
2026-08-19,0.93089,2.8555,1.0,-6.0835,-1.491,-2.3935,,,,,insufficient_history
2026-08-20,0.9346,2.8682,0.0,-6.0835,-3.4218,-2.3935,,,,,insufficient_history
2026-08-21,0.9351,2.86,0.0,-6.0835,-3.4218,-2.3935,,,,,insufficient_history
2026-08-22,0.9351,2.86,1.0,-6.0835,-3.4218,-2.3935,,,,,insufficient_history
2026-08-24,0.9359,2.95,0.0,-6.0835,-3.4218,-2.3935,,,,,insufficient_history
2026-08-25,0.9359,2.9704,0.0,-6.0835,-3.4218,-2.3935,,,,,insufficient_history
2026-08-27,0.9387,2.86,0.0,-6.0835,-3.4218,-2.3935,0.932831,2.2177,0,Solid,computed
2026-08-28,0.9374,2.89,0.0,-6.0835,-3.4218,-2.3935,0.935273,0.7735,0,Solid,computed
2026-09-01,0.9395,2.9,0.0,-6.0835,-3.4218,-2.3935,0.934156,1.5077,30,Regularized,computed
2026-09-02,0.9418,2.94,0.0,-5.7855,-3.4218,-2.3935,0.935652,1.7163,30,Regularized,computed
2026-09-03,0.9377,2.94,2.0,-5.7855,-3.4218,-2.3935,0.934683,0.8267,30,Regularized,computed
