date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.86413,-1.9023,0.0,2.9831,3.6824,-1.2924,,,,,insufficient_history
2026-06-04,0.86455,-1.8703,0.0,2.9831,3.6824,-1.2924,,,,,insufficient_history
2026-06-05,0.86349,-1.8434,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
2026-06-08,0.86439,-1.8909,1.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
2026-06-09,0.8625,-1.8663,1.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
2026-06-10,0.86269,-1.8844,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
2026-06-11,0.86284,-1.8873,2.0,2.9831,3.6824,-0.6598,,,,,insufficient_history
2026-06-12,0.86261,-1.8367,0.0,2.9831,3.5325,-0.6598,,,,,insufficient_history
2026-06-15,0.86388,-1.8749,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-16,0.86449,-1.8423,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-17,0.86502,-1.8229,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-18,0.86676,-1.8403,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-22,0.86128,-1.861,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-23,0.86187,-1.8388,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-24,0.86221,-1.8215,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-25,0.86168,-1.8511,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-26,0.86237,-1.8915,1.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-29,0.86128,-1.8684,0.0,2.9831,3.3122,-0.6598,,,,,insufficient_history
2026-06-30,0.86107,-1.9005,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-01,0.85692,-1.8902,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-02,0.85637,-1.8931,1.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-06,0.85389,-1.8514,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-07,0.85393,-1.8685,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-08,0.85251,-1.8741,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-09,0.8524,-1.8506,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-10,0.85155,-1.8535,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
2026-07-13,0.85233,-1.9154,0.0,3.4571,3.3122,-0.6598,,,,,insufficient_history
