date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,185.583,0.3947,0.0,-2.1461,0.0166,-16.0648,,,,,insufficient_history
2026-06-04,185.777,0.3497,0.0,-2.1461,0.0166,-16.0648,,,,,insufficient_history
2026-06-05,184.66,0.3696,2.0,-2.1461,0.0166,-15.4322,,,,,insufficient_history
2026-06-08,184.686,0.3331,1.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
2026-06-09,185.084,0.3887,1.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
2026-06-10,185.174,0.3856,2.0,-1.6873,0.0166,-15.4322,,,,,insufficient_history
2026-06-11,185.108,0.3407,2.0,-1.6873,0.0166,15.3626,,,,,insufficient_history
2026-06-12,185.311,0.3563,0.0,-1.6873,0.0166,15.3626,,,,,insufficient_history
2026-06-15,185.814,0.3704,1.0,-1.6873,-0.2037,15.3626,,,,,insufficient_history
2026-06-16,186.176,0.292,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-17,184.75,0.325,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-18,184.884,0.3041,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-22,184.565,0.2754,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-23,183.809,0.2358,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-24,183.692,0.2025,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-25,183.934,0.236,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-26,184.073,0.245,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-29,184.934,0.224,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-06-30,185.624,0.1865,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-01,184.949,0.1729,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-02,184.137,0.1234,1.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-06,185.432,0.1122,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-07,184.972,0.1375,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-08,185.621,0.2154,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-09,185.576,0.1738,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-10,184.495,0.2697,0.0,-1.6873,0.1992,15.3626,,,,,insufficient_history
2026-07-13,184.819,0.2811,0.0,-1.6873,0.1992,-1.5106,,,,,insufficient_history
2026-07-14,185.26,0.3551,0.0,-1.6873,0.1992,-1.5106,,,,,insufficient_history
2026-07-15,185.94,0.3984,0.0,-1.6873,0.1992,-1.5106,,,,,insufficient_history
2026-07-16,185.792,0.4256,0.0,-1.6873,0.0289,-1.5106,,,,,insufficient_history
2026-07-17,185.725,0.4134,1.0,-1.9406,0.0289,-1.5106,,,,,insufficient_history
2026-07-20,185.387,0.4287,1.0,-1.9406,0.0289,-1.5106,,,,,insufficient_history
2026-07-21,185.967,0.4395,0.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-22,186.151,0.4375,0.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-23,186.446,0.4385,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-24,186.284,0.3598,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-27,186.134,0.3525,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-28,186.522,0.3277,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-29,187.296,0.4079,3.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-30,183.874,0.3662,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-07-31,181.571,0.4076,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-03,180.905,0.3289,0.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-04,181.917,0.2683,0.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-05,182.227,0.2967,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-06,182.514,0.3637,0.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-07,182.385,0.3295,1.0,-1.9406,0.0456,-1.5106,,,,,insufficient_history
2026-08-10,183.827,0.3677,0.0,-0.1739,0.0456,-1.5106,,,,,insufficient_history
2026-08-11,183.793,0.351,0.0,-0.1739,0.0456,-1.5106,,,,,insufficient_history
2026-08-12,183.748,0.306,0.0,-0.1739,0.0456,-1.5106,,,,,insufficient_history
2026-08-13,183.815,0.265,0.0,-0.1739,0.0456,-1.5106,,,,,insufficient_history
2026-08-14,184.287,0.3208,0.0,-0.1739,0.4562,-1.5106,,,,,insufficient_history
2026-08-17,184.607,0.2959,0.0,-0.1739,0.4562,-1.5106,,,,,insufficient_history
2026-08-18,184.732,0.323,0.0,-0.1739,0.4562,-1.5106,,,,,insufficient_history
2026-08-19,184.673,0.3645,1.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-20,185.726,0.5044,0.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-21,185.677,0.39,0.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-22,185.677,0.39,1.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-24,185.593,0.38,0.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-25,185.906,0.3904,0.0,0.3298,0.591,-1.5106,,,,,insufficient_history
2026-08-27,185.734,0.34,0.0,0.3298,0.591,-1.5106,184.949667,0.6002,100,Solid,computed
2026-08-28,185.696,0.33,0.0,0.3298,0.591,-1.5106,184.975065,0.5525,100,Solid,computed
2026-09-01,185.54,0.34,0.0,0.3298,0.591,-1.5106,185.016153,0.4041,100,Solid,computed
2026-09-02,184.023,0.35,0.0,0.6278,0.591,-1.5106,185.060716,-0.7998,100,Solid,computed
2026-09-03,181.408,0.38,0.0,0.6278,0.591,-1.5106,185.034689,-2.7764,100,Solid,computed
