date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,10.811,-1.3483,0.0,-18.8166,-5.9406,0.0187,,,,,insufficient_history
2026-06-04,10.8442,-1.3743,0.0,-18.8166,-5.9406,0.0187,,,,,insufficient_history
2026-06-05,10.9074,-1.3824,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-08,10.9219,-1.3689,1.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-09,10.9749,-1.3633,1.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-10,10.9224,-1.3614,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-11,10.9809,-1.3743,2.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-12,11.0044,-1.3757,0.0,-18.8166,-5.9406,0.0732,,,,,insufficient_history
2026-06-15,11.049,-1.3336,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-16,11.0034,-1.355,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-17,11.0569,-1.393,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-18,11.1471,-1.3909,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-22,11.0725,-1.3736,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-23,11.1403,-1.3672,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-24,11.1874,-1.4135,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-25,11.211,-1.363,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-26,11.306,-1.416,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-29,11.3368,-1.37,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-06-30,11.308,-1.3805,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-01,11.2773,-1.4121,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-02,11.2531,-1.4216,1.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-06,11.1925,-1.3638,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-07,11.1854,-1.3575,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-08,11.1489,-1.3226,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
2026-07-09,11.1107,-1.3622,0.0,-18.8166,-4.5869,0.0732,,,,,insufficient_history
