date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.9784,-1.5133,0.0,8.74,-2.4099,-1.1895,,,,,insufficient_history
2026-06-04,1.97809,-1.5263,0.0,8.74,-2.4099,-1.1895,,,,,insufficient_history
2026-06-05,1.98709,-1.4924,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-08,1.98405,-1.5439,1.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-09,1.98381,-1.5033,1.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-10,1.98981,-1.4714,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-11,1.9835,-1.5243,2.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-12,1.98179,-1.4707,0.0,8.74,-2.4099,-0.5569,,,,,insufficient_history
2026-06-15,1.98939,-1.4586,1.0,8.74,-2.6302,-0.5569,,,,,insufficient_history
2026-06-16,1.99016,-1.51,0.0,1.9963,-2.6302,-0.5569,,,,,insufficient_history
2026-06-17,1.99269,-1.454,1.0,1.9963,-2.6302,-0.5569,,,,,insufficient_history
2026-06-18,1.99026,-1.5169,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-22,1.99915,-1.4986,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-23,2.00705,-1.5032,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-24,2.00978,-1.5095,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-25,2.0124,-1.481,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-26,2.01741,-1.512,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-29,2.02101,-1.52,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-06-30,2.011,-1.4955,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-01,2.0056,-1.5331,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-02,2.00608,-1.5516,1.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-06,2.0063,-1.4748,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-07,2.01,-1.4425,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-08,2.00225,-1.4216,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-09,1.9855,-1.5272,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-10,1.97954,-1.5453,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-13,1.9784,-1.5369,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-14,1.96286,-1.5899,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
2026-07-15,1.9589,-1.5946,0.0,1.9963,-1.1105,-0.5569,,,,,insufficient_history
