date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,10.9085,0.1637,0.0,-3.9631,0.6242,-1.5365,,,,,insufficient_history
2026-06-04,10.8887,0.1557,0.0,-3.9631,0.6242,-1.5365,,,,,insufficient_history
2026-06-05,10.9103,0.1626,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-08,10.8726,0.1711,1.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-09,10.9253,0.1867,1.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-10,10.9739,0.1956,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-11,10.9266,0.1757,2.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-12,10.903,0.1593,0.0,-4.8914,0.6242,0.2493,,,,,insufficient_history
2026-06-15,10.8939,0.1484,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-16,10.8701,0.127,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-17,10.9335,0.151,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-18,10.9811,0.1481,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-22,10.986,0.1864,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-23,11.079,0.2118,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-24,11.0665,0.1925,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-25,11.0594,0.209,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-26,11.0832,0.188,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-29,11.0913,0.205,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-06-30,11.0747,0.1915,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-01,11.0656,0.1719,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-02,11.0622,0.1584,1.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-06,11.0064,0.1872,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-07,11.0604,0.1875,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-08,11.0675,0.1934,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-09,11.0437,0.1778,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-10,11.0279,0.1797,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-13,11.0558,0.1781,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-14,11.0337,0.1501,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-15,10.9901,0.1424,0.0,-4.8914,0.4039,0.2493,,,,,insufficient_history
2026-07-16,11.0297,0.1926,0.0,-4.8914,0.2336,0.2493,,,,,insufficient_history
2026-07-17,11.033,0.1984,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-20,11.0446,0.2127,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-21,11.0605,0.1805,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-22,11.0611,0.1695,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-23,11.0942,0.1815,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-24,11.0452,0.1548,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-27,11.0547,0.1625,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-28,11.0315,0.1607,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-29,11.0607,0.1829,3.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-30,10.984,0.1582,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-07-31,10.9774,0.1686,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-03,10.9947,0.1439,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-04,10.9735,0.1383,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-05,10.9561,0.1387,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-06,10.9593,0.1257,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-07,10.9519,0.1195,1.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-10,10.9577,0.1467,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-11,10.9863,0.139,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-12,11.0408,0.157,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-13,11.0268,0.166,0.0,-5.1447,0.2336,0.2493,,,,,insufficient_history
2026-08-14,11.0164,0.1788,0.0,-5.1447,0.6442,-0.8363,,,,,insufficient_history
2026-08-17,11.0138,0.1779,0.0,-5.1447,0.6442,-0.8363,,,,,insufficient_history
2026-08-18,11.0309,0.171,0.0,-5.1447,0.6442,-0.8363,,,,,insufficient_history
2026-08-19,11.0186,0.1825,1.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-20,11.0777,0.4975,0.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-21,11.0548,0.23,0.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-22,11.056,0.23,1.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-24,11.076,0.22,0.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-25,11.0372,0.4997,0.0,-4.641,0.6442,-0.8363,,,,,insufficient_history
2026-08-27,11.1017,0.22,0.0,-4.641,0.6442,-0.8363,11.003428,1.6717,100,Solid,computed
2026-08-28,11.0758,0.22,0.0,-4.641,0.6442,-0.8363,11.014203,1.0379,100,Solid,computed
2026-09-01,11.1272,0.2,0.0,-4.641,0.6442,-0.8363,11.028478,1.7342,100,Solid,computed
2026-09-02,11.1589,0.22,0.0,-4.343,0.6442,-0.0055,11.03152,2.2242,100,Solid,computed
2026-09-03,11.0872,0.24,0.0,-4.343,0.6442,-0.0055,11.047026,0.7111,100,Solid,computed
