date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.16023,-1.4533,0.0,3.0197,1.2296,-0.5968,,,,,insufficient_history
2026-06-04,1.16144,-1.4463,0.0,3.0197,1.2296,-0.5968,,,,,insufficient_history
2026-06-05,1.15274,-1.5124,2.0,3.0197,1.2296,0.0358,,,,,insufficient_history
2026-06-08,1.15354,-1.5039,1.0,3.0197,1.2296,0.0358,,,,,insufficient_history
2026-06-09,1.15473,-1.4733,1.0,3.0197,0.897,0.0358,,,,,insufficient_history
2026-06-10,1.15393,-1.4814,2.0,3.0197,0.897,0.0358,,,,,insufficient_history
2026-06-11,1.15821,-1.4243,2.0,3.0197,0.897,0.0358,,,,,insufficient_history
2026-06-12,1.15714,-1.4807,0.0,3.0197,0.897,0.0358,,,,,insufficient_history
2026-06-15,1.15915,-1.5186,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-16,1.16131,-1.49,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-17,1.15048,-1.564,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-18,1.146,-1.5369,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-22,1.14299,-1.5586,0.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-23,1.13843,-1.5832,1.0,3.0197,0.6767,0.0358,,,,,insufficient_history
2026-06-24,1.13611,-1.5395,1.0,3.4728,0.6767,0.0358,,,,,insufficient_history
2026-06-25,1.13727,-1.541,1.0,3.4728,0.6767,0.0358,,,,,insufficient_history
2026-06-26,1.13908,-1.532,1.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-06-29,1.14273,-1.52,0.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-06-30,1.14247,-1.5755,0.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-07-01,1.13804,-1.6031,0.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-07-02,1.14364,-1.5916,1.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-07-06,1.14443,-1.5348,0.0,3.4728,1.3031,0.0358,,,,,insufficient_history
2026-07-07,1.14155,-1.5625,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-08,1.14207,-1.4716,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-09,1.14325,-1.4872,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-10,1.14168,-1.5253,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-13,1.13843,-1.5469,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-14,1.14233,-1.5099,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-15,1.14666,-1.4646,0.0,3.4728,0.9491,0.0358,,,,,insufficient_history
2026-07-16,1.14482,-1.4324,0.0,3.4728,0.7788,0.0358,,,,,insufficient_history
2026-07-17,1.14403,-1.4266,1.0,3.2195,0.7788,0.0358,,,,,insufficient_history
2026-07-20,1.14168,-1.4523,1.0,3.2195,0.7788,0.0358,,,,,insufficient_history
2026-07-21,1.14012,-1.4645,0.0,3.2195,0.7788,0.0358,,,,,insufficient_history
2026-07-22,1.14142,-1.4905,0.0,3.2195,0.7788,0.0358,,,,,insufficient_history
2026-07-23,1.13804,-1.4985,1.0,3.2195,0.7788,0.0358,,,,,insufficient_history
