date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.88117,0.023,0.0,1.3219,-3.2372,1.4988,,,,,insufficient_history
2026-06-04,1.8812,-0.026,0.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-05,1.89205,-0.033,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-08,1.89301,-0.025,1.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-09,1.9019,0.002,1.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-10,1.90894,0.056,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-11,1.90266,0.012,2.0,1.3219,-3.7302,1.4988,,,,,insufficient_history
2026-06-12,1.90269,0.015,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-15,1.89502,0.0183,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-16,1.89895,-0.0527,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-17,1.89443,-0.0201,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-18,1.88189,-0.0196,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-22,1.89163,0.0064,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-23,1.90864,-0.0284,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-24,1.90728,-0.083,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-25,1.90848,-0.0209,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-26,1.91355,0.0125,1.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-29,1.92377,-0.0296,0.0,1.3219,-3.5803,1.4988,,,,,insufficient_history
2026-06-30,1.9157,0.036,0.0,0.8479,-3.5803,1.4988,,,,,insufficient_history
2026-07-01,1.92552,-0.0219,0.0,0.8479,-3.5803,1.4988,,,,,insufficient_history
2026-07-02,1.92696,-0.0315,1.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
2026-07-06,1.92444,0.0026,0.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
2026-07-07,1.92709,0.03,0.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
2026-07-08,1.93129,0.0785,0.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
2026-07-09,1.93136,0.0184,0.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
2026-07-10,1.92588,0.0512,0.0,0.8479,-2.9275,1.4988,,,,,insufficient_history
