date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.86396,1.504,0.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
2026-06-04,1.8665,1.457,0.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
2026-06-05,1.85846,1.408,2.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
2026-06-08,1.86074,1.417,1.0,-1.4901,-3.7015,1.4,,,,,insufficient_history
2026-06-09,1.86511,1.435,1.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
2026-06-10,1.86322,1.456,2.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
2026-06-11,1.87316,1.504,2.0,-1.4901,-3.8147,1.4,,,,,insufficient_history
2026-06-12,1.87523,1.434,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-15,1.87579,1.4133,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-16,1.87827,1.3913,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-17,1.8729,1.3289,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-18,1.86533,1.3894,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-22,1.87561,1.3784,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-23,1.87554,1.3166,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-24,1.87331,1.332,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-25,1.87258,1.3281,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-26,1.8728,1.3535,1.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-29,1.88305,1.3544,0.0,-1.4901,-3.6648,1.4,,,,,insufficient_history
2026-06-30,1.88209,1.383,0.0,-1.9641,-3.6648,1.4,,,,,insufficient_history
2026-07-01,1.88659,1.3851,0.0,-1.9641,-3.6648,1.4,,,,,insufficient_history
2026-07-02,1.89153,1.3465,1.0,-1.9641,-3.6648,1.4,,,,,insufficient_history
2026-07-06,1.90144,1.3776,0.0,-1.9641,-3.6648,1.4,,,,,insufficient_history
2026-07-07,1.89663,1.362,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-08,1.89693,1.3935,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-09,1.89908,1.3774,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-10,1.89577,1.3752,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-13,1.88854,1.4235,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-14,1.88159,1.4007,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-15,1.90071,1.4104,0.0,-1.9641,-3.8478,1.4,,,,,insufficient_history
2026-07-16,1.89148,1.4348,0.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-17,1.88524,1.4125,1.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-20,1.88945,1.4799,1.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-21,1.88611,1.4697,0.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-22,1.88369,1.4464,0.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-23,1.87445,1.4557,1.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-24,1.8776,1.4348,1.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
2026-07-27,1.87668,1.4399,1.0,-1.9641,-2.9011,1.4,,,,,insufficient_history
