date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.06255,4.542,0.0,-5.5003,-4.924,8.5622,,,,,insufficient_history
2026-06-04,1.05938,4.497,0.0,-5.5003,-4.924,8.5622,,,,,insufficient_history
2026-06-05,1.06122,4.457,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
2026-06-08,1.06379,4.515,1.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
2026-06-09,1.06727,4.507,1.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
2026-06-10,1.06884,4.516,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
2026-06-11,1.06622,4.487,2.0,-5.5003,-4.924,-1.7337,,,,,insufficient_history
2026-06-12,1.06792,4.439,0.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
2026-06-15,1.06475,4.4703,1.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
2026-06-16,1.06467,4.4413,0.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
2026-06-17,1.06256,4.4319,1.0,-5.5003,-4.7741,-1.7337,,,,,insufficient_history
2026-06-18,1.06153,4.4414,0.0,-5.5003,-5.8517,-1.7337,,,,,insufficient_history
2026-06-22,1.07119,4.5004,0.0,-5.5003,-5.8517,-1.7337,,,,,insufficient_history
2026-06-23,1.06799,4.4556,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
2026-06-24,1.06865,4.424,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
2026-06-25,1.0677,4.4571,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
2026-06-26,1.06858,4.4965,1.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
2026-06-29,1.071,4.4664,0.0,-9.317,-5.8517,-1.7337,,,,,insufficient_history
2026-06-30,1.07123,4.494,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-01,1.07399,4.4871,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-02,1.07169,4.4835,1.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-06,1.0779,4.4706,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-07,1.07854,4.511,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-08,1.08096,4.5855,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-09,1.08107,4.5184,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-10,1.08332,4.4882,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-13,1.08704,4.5815,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-14,1.08228,4.5587,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-15,1.08959,4.5284,0.0,-9.791,-5.8517,-1.7337,,,,,insufficient_history
2026-07-16,1.08961,4.5448,0.0,-9.791,-4.905,-1.7337,,,,,insufficient_history
2026-07-17,1.08526,4.5445,1.0,-9.791,-4.905,-1.7337,,,,,insufficient_history
2026-07-20,1.08712,4.5899,1.0,-9.791,-4.905,-1.7337,,,,,insufficient_history
2026-07-21,1.0865,4.5827,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-22,1.08899,4.5844,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-23,1.08706,4.5787,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-24,1.0893,4.5748,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-27,1.0886,4.5749,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-28,1.08756,4.5526,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-29,1.08855,4.6061,3.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-30,1.08384,4.5801,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-07-31,1.088,4.644,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-03,1.08754,4.5539,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-04,1.08832,4.5218,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-05,1.0869,4.5249,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-06,1.09266,4.6079,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-07,1.08962,4.5716,1.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-10,1.09351,4.5985,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-11,1.09452,4.5463,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-12,1.09723,4.6054,0.0,-9.791,-4.0968,-1.7337,,,,,insufficient_history
2026-08-13,1.09736,4.5988,0.0,-9.791,-4.6541,-1.7337,,,,,insufficient_history
2026-08-14,1.09999,4.6684,0.0,-9.791,-4.6541,-1.7337,,,,,insufficient_history
2026-08-17,1.09783,4.6721,0.0,-9.791,-4.6541,-1.7337,,,,,insufficient_history
2026-08-18,1.09884,4.6682,0.0,-9.791,-4.6541,-3.4337,,,,,insufficient_history
2026-08-19,1.08462,4.6493,1.0,-9.791,-4.6541,-3.4337,,,,,insufficient_history
2026-08-20,1.0908,4.65,0.0,-9.791,-6.5849,-3.4337,,,,,insufficient_history
2026-08-21,1.0923,4.65,0.0,-9.791,-6.5849,-3.4337,,,,,insufficient_history
2026-08-22,1.0923,4.65,1.0,-9.791,-6.5849,-3.4337,,,,,insufficient_history
2026-08-24,1.0939,4.75,0.0,-9.791,-6.5849,-3.4337,,,,,insufficient_history
2026-08-25,1.0941,4.824,0.0,-9.791,-6.5849,-3.4337,,,,,insufficient_history
2026-08-27,1.0943,4.67,0.0,-9.791,-6.5849,-3.4337,1.089666,1.1947,3,Solid,computed
2026-08-28,1.0938,4.7,0.0,-9.791,-6.5849,-3.4337,1.092295,0.3836,3,Solid,computed
2026-09-01,1.0962,4.78,0.0,-9.791,-6.5849,-3.4337,1.091769,0.6283,100,Solid,computed
2026-09-02,1.096,4.8,0.0,-9.791,-6.5849,-3.4329,1.092315,0.5213,100,Solid,computed
2026-09-03,1.0927,4.72,0.0,-9.791,-6.5849,-3.4329,1.089942,0.3916,100,Solid,computed
