date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,214.699,2.297,0.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
2026-06-04,214.783,2.22,0.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
2026-06-05,213.793,2.213,2.0,-5.1292,-3.6658,-14.7724,,,,,insufficient_history
2026-06-08,213.59,2.224,1.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
2026-06-09,214.453,2.255,1.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
2026-06-10,214.586,2.27,2.0,-4.6704,-3.6658,-14.7724,,,,,insufficient_history
2026-06-11,214.479,2.228,2.0,-4.6704,-3.6658,16.0224,,,,,insufficient_history
2026-06-12,214.77,2.193,0.0,-4.6704,-3.5159,16.0224,,,,,insufficient_history
2026-06-15,215.038,2.2453,1.0,-4.6704,-3.5159,16.0224,,,,,insufficient_history
2026-06-16,215.32,2.1343,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-17,213.453,2.1479,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-18,213.1,2.1444,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-22,214.124,2.1364,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-23,213.228,2.0746,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-24,212.95,2.024,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-25,213.372,2.0871,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-26,213.396,2.1365,1.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-29,214.654,2.0924,0.0,-4.6704,-3.113,16.0224,,,,,insufficient_history
2026-06-30,215.48,2.087,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-01,215.783,2.0631,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-02,214.96,2.0165,1.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-06,217.03,1.9636,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-07,216.512,2.006,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-08,217.644,2.0895,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-09,217.686,2.0244,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-10,216.575,2.1232,0.0,-5.1444,-3.113,16.0224,,,,,insufficient_history
2026-07-13,216.764,2.1965,0.0,-5.1444,-3.113,-0.8508,,,,,insufficient_history
2026-07-14,217.2,2.2597,0.0,-5.1444,-3.113,-0.8508,,,,,insufficient_history
2026-07-15,219.561,2.2544,0.0,-5.1444,-3.113,-0.8508,,,,,insufficient_history
