date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,2.2871,0.389,0.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-04,2.28709,0.344,0.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-05,2.30071,0.351,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-08,2.29472,0.347,1.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-09,2.29865,0.363,1.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-10,2.30571,0.413,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-11,2.29849,0.363,2.0,5.7569,-6.0923,0.1029,,,,,insufficient_history
2026-06-12,2.29829,0.366,0.0,5.7569,-5.9424,0.1029,,,,,insufficient_history
2026-06-15,2.30203,0.4163,1.0,5.7569,-5.9424,0.1029,,,,,insufficient_history
2026-06-16,2.3012,0.3323,0.0,-0.9868,-5.9424,0.1029,,,,,insufficient_history
2026-06-17,2.3028,0.3689,1.0,-0.9868,-5.9424,0.1029,,,,,insufficient_history
2026-06-18,2.2935,0.3234,0.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-22,2.31759,0.3624,0.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-23,2.32834,0.3356,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-24,2.32934,0.312,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-25,2.33479,0.3701,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-26,2.33981,0.3795,1.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-29,2.34442,0.3484,0.0,-0.9868,-4.4227,0.1029,,,,,insufficient_history
2026-06-30,2.33478,0.405,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-01,2.3399,0.3571,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-02,2.34161,0.3415,1.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-06,2.34788,0.3766,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-07,2.3525,0.426,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-08,2.34785,0.4525,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-09,2.32915,0.3234,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-10,2.32413,0.3082,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-13,2.31946,0.3785,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-14,2.30159,0.3147,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
2026-07-15,2.31341,0.2614,0.0,-1.4608,-4.4227,0.1029,,,,,insufficient_history
