date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.34178,0.449,0.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
2026-06-04,1.34244,0.424,0.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
2026-06-05,1.33372,0.331,2.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
2026-06-08,1.33396,0.387,1.0,0.0366,-2.4528,0.6956,,,,,insufficient_history
2026-06-09,1.33797,0.393,1.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
2026-06-10,1.33677,0.403,2.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
2026-06-11,1.34162,0.463,2.0,0.0366,-2.7854,0.6956,,,,,insufficient_history
2026-06-12,1.34066,0.356,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-15,1.34129,0.3563,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-16,1.34261,0.3523,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-17,1.32942,0.2589,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-18,1.3206,0.3034,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-22,1.32531,0.3024,0.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-23,1.32046,0.2556,1.0,0.0366,-2.6355,0.6956,,,,,insufficient_history
2026-06-24,1.31688,0.282,1.0,0.4897,-2.6355,0.6956,,,,,insufficient_history
2026-06-25,1.31916,0.3101,1.0,0.4897,-2.6355,0.6956,,,,,insufficient_history
2026-06-26,1.3197,0.3595,1.0,0.4897,-2.0091,0.6956,,,,,insufficient_history
2026-06-29,1.32598,0.3484,0.0,0.4897,-2.0091,0.6956,,,,,insufficient_history
2026-06-30,1.32619,0.325,0.0,0.0157,-2.0091,0.6956,,,,,insufficient_history
2026-07-01,1.32767,0.2871,0.0,0.0157,-2.0091,0.6956,,,,,insufficient_history
2026-07-02,1.33483,0.3015,1.0,0.0157,-2.0091,0.6956,,,,,insufficient_history
2026-07-06,1.33903,0.3166,0.0,0.0157,-2.0091,0.6956,,,,,insufficient_history
2026-07-07,1.33593,0.306,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-08,1.33889,0.4025,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-09,1.34097,0.3634,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-10,1.34018,0.3282,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-13,1.33472,0.3685,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-14,1.33921,0.3947,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-15,1.35395,0.3914,0.0,0.0157,-2.3631,0.6956,,,,,insufficient_history
2026-07-16,1.34778,0.3958,0.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-17,1.34541,0.4225,1.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-20,1.34311,0.4449,1.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-21,1.33756,0.4017,0.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-22,1.33785,0.3684,0.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-23,1.3315,0.3887,1.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-24,1.33239,0.3508,1.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-27,1.32894,0.3469,1.0,0.0157,-1.4164,0.6956,,,,,insufficient_history
2026-07-28,1.3289,0.3436,1.0,0.0157,-1.1164,0.6956,,,,,insufficient_history
2026-07-29,1.33683,0.3681,3.0,0.0157,-1.1164,0.6956,,,,,insufficient_history
2026-07-30,1.3466,0.3121,1.0,0.0157,-1.1164,0.6956,,,,,insufficient_history
2026-07-31,1.34834,0.306,1.0,0.0157,-1.1164,0.6956,,,,,insufficient_history
