date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.46385,4.153,0.0,-11.2572,1.1683,8.4593,,,,,insufficient_history
2026-06-04,0.46284,4.153,0.0,-11.2572,1.1683,8.4593,,,,,insufficient_history
2026-06-05,0.46092,4.106,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-08,0.46287,4.168,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-09,0.46371,4.144,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-10,0.46314,4.103,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-11,0.46331,4.124,2.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-12,0.46405,4.073,0.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-15,0.46177,4.054,1.0,-11.2572,1.1683,-1.8366,,,,,insufficient_history
2026-06-16,0.46187,4.109,0.0,-4.5135,1.1683,-1.8366,,,,,insufficient_history
2026-06-17,0.46099,4.063,1.0,-4.5135,1.1683,-1.8366,,,,,insufficient_history
2026-06-18,0.46254,4.118,0.0,-4.5135,-1.429,-1.8366,,,,,insufficient_history
2026-06-22,0.46139,4.138,0.0,-4.5135,-1.429,-1.8366,,,,,insufficient_history
2026-06-23,0.45868,4.12,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-06-24,0.45828,4.112,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-06-25,0.4569,4.087,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-06-26,0.45587,4.117,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-06-29,0.45606,4.118,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-06-30,0.45832,4.089,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-01,0.45828,4.13,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-02,0.45715,4.142,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-06,0.45857,4.094,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-07,0.45834,4.085,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-08,0.45968,4.133,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-09,0.46383,4.195,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-10,0.46561,4.18,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-13,0.46785,4.203,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-14,0.4698,4.244,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-15,0.47019,4.267,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-16,0.47212,4.229,0.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-17,0.4712,4.222,1.0,-8.3302,-1.429,-1.8366,,,,,insufficient_history
2026-07-20,0.47202,4.255,1.0,-8.3302,-2.4874,-1.8366,,,,,insufficient_history
2026-07-21,0.47266,4.231,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-22,0.47333,4.246,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-23,0.47086,4.2,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-24,0.47332,4.324,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-27,0.4729,4.288,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-28,0.473,4.319,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-29,0.47095,4.218,3.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-30,0.4731,4.318,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-07-31,0.4745,4.258,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-03,0.47492,4.34,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-04,0.47647,4.356,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-05,0.47468,4.29,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-06,0.4763,4.343,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-07,0.47608,4.354,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-10,0.47617,4.268,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-11,0.47632,4.266,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-12,0.47578,4.328,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-13,0.47572,4.297,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-14,0.47892,4.302,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-17,0.47792,4.327,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-18,0.47656,4.329,0.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-19,0.4729,4.303,1.0,-8.3302,-1.6792,-1.8366,,,,,insufficient_history
2026-08-20,0.4758,4.32,0.0,-8.3302,-6.283,-1.8366,,,,,insufficient_history
2026-08-21,0.4788,4.35,0.0,-8.3302,-6.283,-1.8366,,,,,insufficient_history
2026-08-22,0.4779,4.35,1.0,-8.3302,-6.283,-1.8366,,,,,insufficient_history
2026-08-24,0.4782,4.45,0.0,-8.3302,-6.283,-1.8366,,,,,insufficient_history
2026-08-25,0.4791,4.45,0.0,-8.3302,-6.283,-1.8366,,,,,insufficient_history
2026-08-27,0.4793,4.37,0.0,-8.3302,-6.283,-1.8366,0.476418,1.0138,0.001,Solid,computed
2026-08-28,0.4797,4.39,0.0,-8.3302,-6.283,-1.8366,0.478285,0.494,0.001,Solid,computed
2026-09-01,0.4786,4.39,0.0,-8.3302,-6.283,-1.8366,0.478474,0.0439,0.3,Regularized,computed
2026-09-02,0.4756,4.36,0.0,-8.3302,-6.283,-1.8366,0.476238,-0.2225,0.1,Regularized,computed
2026-09-03,0.4752,4.35,0.0,-8.3302,-6.283,-1.8366,0.475476,-0.0974,1,Regularized,computed
