date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,93.743,1.908,0.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
2026-06-04,93.852,1.876,0.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
2026-06-05,92.888,1.862,2.0,-10.8861,2.4265,-14.8753,,,,,insufficient_history
2026-06-08,92.992,1.877,1.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
2026-06-09,93.243,1.892,1.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
2026-06-10,93.002,1.857,2.0,-10.4273,2.4265,-14.8753,,,,,insufficient_history
2026-06-11,93.279,1.865,2.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
2026-06-12,93.408,1.827,0.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
2026-06-15,93.306,1.829,1.0,-10.4273,2.4265,15.9195,,,,,insufficient_history
2026-06-16,93.482,1.802,0.0,-3.6836,2.8294,15.9195,,,,,insufficient_history
2026-06-17,92.619,1.779,1.0,-3.6836,2.8294,15.9195,,,,,insufficient_history
2026-06-18,92.824,1.821,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-22,92.275,1.774,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-23,91.516,1.739,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-24,91.33,1.712,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-25,91.334,1.717,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-26,91.17,1.757,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-29,91.457,1.744,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-06-30,92.227,1.682,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-01,92.161,1.706,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-02,91.727,1.675,1.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-06,92.365,1.587,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-07,91.98,1.58,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-08,92.602,1.637,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-09,93.389,1.701,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-10,93.182,1.815,0.0,-3.6836,1.3097,15.9195,,,,,insufficient_history
2026-07-13,93.361,1.818,0.0,-3.6836,1.3097,-0.9537,,,,,insufficient_history
2026-07-14,94.245,1.945,0.0,-3.6836,1.3097,-0.9537,,,,,insufficient_history
2026-07-15,94.797,1.993,0.0,-3.6836,1.3097,-0.9537,,,,,insufficient_history
2026-07-16,94.825,1.938,0.0,-3.6836,1.3097,-0.9537,,,,,insufficient_history
2026-07-17,94.836,1.94,1.0,-3.6836,1.3097,-0.9537,,,,,insufficient_history
2026-07-20,94.808,1.991,1.0,-3.6836,0.2513,-0.9537,,,,,insufficient_history
2026-07-21,94.988,1.954,0.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-22,94.841,1.958,0.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-23,94.534,1.947,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-24,94.798,1.977,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-27,94.55,1.935,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-28,94.716,1.939,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-29,94.63,1.902,3.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-30,93.743,1.928,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-07-31,92.508,1.874,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-03,92.223,1.917,0.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-04,92.943,1.882,0.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-05,92.825,1.853,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-06,92.945,1.918,0.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-07,92.98,1.91,1.0,-3.6836,0.268,-0.9537,,,,,insufficient_history
2026-08-10,93.638,1.861,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-11,93.621,1.884,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-12,93.344,1.849,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-13,93.28,1.776,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-14,93.797,1.802,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-17,94.068,1.798,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-18,93.72,1.802,0.0,-1.9169,0.268,-0.9537,,,,,insufficient_history
2026-08-19,93.833,1.812,1.0,-1.9169,0.4028,-0.9537,,,,,insufficient_history
2026-08-20,94.553,1.9562,0.0,-1.9169,-2.2702,-0.9537,,,,,insufficient_history
2026-08-21,94.985,1.88,0.0,-1.9169,-2.2702,-0.9537,,,,,insufficient_history
2026-08-22,94.985,1.88,1.0,-1.9169,-2.2702,-0.9537,,,,,insufficient_history
2026-08-24,94.835,1.88,0.0,-1.9169,-2.2702,-0.9537,,,,,insufficient_history
2026-08-25,95.17,1.87,0.0,-1.9169,-2.2702,-0.9537,,,,,insufficient_history
2026-08-27,94.839,1.85,0.0,-1.9169,-2.2702,-0.9537,94.272246,0.7875,10,Solid,computed
2026-08-28,95.026,1.83,0.0,-1.9169,-2.2702,-0.9537,94.21703,1.1194,10,Solid,computed
2026-09-01,94.517,1.83,0.0,-1.9169,-2.2702,-0.9537,94.180228,0.4425,30,Solid,computed
2026-09-02,92.924,1.77,0.0,-1.9169,-2.2702,-0.9537,93.94848,-1.3474,30,Solid,computed
2026-09-03,91.799,1.82,0.0,-1.9169,-2.2702,-0.9537,94.067618,-2.946,30,Solid,computed
2026-09-04,91.885,1.89,0.0,-1.9169,-2.2702,-3.6563,94.282278,-2.8994,30,Solid,computed
