date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,0.58613,0.06,0.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
2026-06-04,0.58685,0.08,0.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
2026-06-05,0.57974,-0.02,2.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
2026-06-08,0.58109,0.04,1.0,-5.7203,3.6395,0.5927,,,,,insufficient_history
2026-06-09,0.58184,0.03,1.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
2026-06-10,0.57981,-0.01,2.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
2026-06-11,0.58374,0.1,2.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
2026-06-12,0.58346,-0.01,0.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
2026-06-15,0.58238,-0.06,1.0,-5.7203,3.3069,0.5927,,,,,insufficient_history
2026-06-16,0.58336,0.02,0.0,1.0234,3.3069,0.5927,,,,,insufficient_history
2026-06-17,0.57697,-0.11,1.0,1.0234,3.3069,0.5927,,,,,insufficient_history
2026-06-18,0.57561,-0.02,0.0,1.0234,1.7872,0.5927,,,,,insufficient_history
2026-06-22,0.57153,-0.06,0.0,1.0234,1.7872,0.5927,,,,,insufficient_history
2026-06-23,0.56699,-0.08,1.0,1.0234,1.7872,0.5927,,,,,insufficient_history
2026-06-24,0.56516,-0.03,1.0,1.4765,1.7872,0.5927,,,,,insufficient_history
2026-06-25,0.56491,-0.06,1.0,1.4765,1.7872,0.5927,,,,,insufficient_history
2026-06-26,0.56405,-0.02,1.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-06-29,0.56523,0.0,0.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-06-30,0.56786,-0.08,0.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-07-01,0.56747,-0.07,0.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-07-02,0.56996,-0.04,1.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-07-06,0.57032,-0.06,0.0,1.4765,2.4136,0.5927,,,,,insufficient_history
2026-07-07,0.56799,-0.12,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-08,0.57016,-0.05,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-09,0.57577,0.04,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-10,0.5765,0.02,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-13,0.57518,-0.01,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-14,0.58126,0.08,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-15,0.58517,0.13,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-16,0.58445,0.08,0.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-17,0.58449,0.1,1.0,1.4765,2.0596,0.5927,,,,,insufficient_history
2026-07-20,0.58408,0.11,1.0,1.4765,1.0012,0.5927,,,,,insufficient_history
2026-07-21,0.58292,0.05,0.0,1.4765,1.0012,0.5927,,,,,insufficient_history
2026-07-22,0.58184,0.03,0.0,1.4765,1.0012,0.5927,,,,,insufficient_history
