date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,1.38956,-1.055,0.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
2026-06-04,1.39056,-1.033,0.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
2026-06-05,1.3937,-1.077,2.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
2026-06-08,1.39497,-1.03,1.0,1.5267,1.2487,-0.7044,,,,,insufficient_history
2026-06-09,1.39462,-1.042,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-10,1.3941,-1.053,2.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-11,1.39649,-1.041,2.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-12,1.39845,-1.078,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-15,1.39891,-1.057,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-16,1.3992,-1.039,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-17,1.4098,-1.07,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-18,1.41318,-1.086,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-22,1.41554,-1.076,0.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-23,1.42082,-1.061,1.0,1.5267,1.0293,-0.7044,,,,,insufficient_history
2026-06-24,1.42318,-1.05,1.0,1.9798,1.0293,-0.7044,,,,,insufficient_history
2026-06-25,1.41996,-1.018,1.0,1.9798,1.0293,-0.7044,,,,,insufficient_history
2026-06-26,1.419,-0.994,1.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-06-29,1.4205,-1.006,0.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-06-30,1.41938,-1.058,0.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-07-01,1.42133,-1.098,0.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-07-02,1.41795,-1.045,1.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-07-06,1.42019,-1.061,0.0,1.9798,1.6557,-0.7044,,,,,insufficient_history
2026-07-07,1.41987,-1.056,0.0,1.9798,1.4847,-0.7044,,,,,insufficient_history
