date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,160.024,-1.848,0.0,5.1658,1.213,15.468,,,,,insufficient_history
2026-06-04,160.013,-1.796,0.0,5.1658,1.213,15.468,,,,,insufficient_history
2026-06-05,160.293,-1.882,2.0,5.1658,1.213,15.468,,,,,insufficient_history
2026-06-08,160.139,-1.837,1.0,4.707,1.213,15.468,,,,,insufficient_history
2026-06-09,160.348,-1.862,1.0,4.707,0.8804,15.468,,,,,insufficient_history
2026-06-10,160.528,-1.867,2.0,4.707,0.8804,15.468,,,,,insufficient_history
2026-06-11,159.923,-1.765,2.0,4.707,0.8804,-15.3268,,,,,insufficient_history
2026-06-12,160.207,-1.837,0.0,4.707,0.8804,-15.3268,,,,,insufficient_history
2026-06-15,160.332,-1.889,1.0,4.707,0.8804,-15.3268,,,,,insufficient_history
2026-06-16,160.393,-1.782,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
2026-06-17,160.63,-1.889,1.0,4.707,0.4775,-15.3268,,,,,insufficient_history
2026-06-18,161.361,-1.841,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
2026-06-22,161.572,-1.834,0.0,4.707,0.4775,-15.3268,,,,,insufficient_history
2026-06-23,161.55,-1.819,1.0,4.707,0.4775,-15.3268,,,,,insufficient_history
2026-06-24,161.755,-1.742,1.0,5.1601,0.4775,-15.3268,,,,,insufficient_history
2026-06-25,161.774,-1.777,1.0,5.1601,0.4775,-15.3268,,,,,insufficient_history
2026-06-26,161.693,-1.777,1.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-06-29,161.926,-1.744,0.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-06-30,162.473,-1.762,0.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-07-01,162.575,-1.776,0.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-07-02,161.085,-1.715,1.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-07-06,162.07,-1.647,0.0,5.1601,1.1039,-15.3268,,,,,insufficient_history
2026-07-07,162.09,-1.7,0.0,5.1601,0.7499,-15.3268,,,,,insufficient_history
2026-07-08,162.584,-1.687,0.0,5.1601,0.7499,-15.3268,,,,,insufficient_history
2026-07-09,162.358,-1.661,0.0,5.1601,0.7499,-15.3268,,,,,insufficient_history
2026-07-10,161.672,-1.795,0.0,5.1601,0.7499,-15.3268,,,,,insufficient_history
2026-07-13,162.432,-1.828,0.0,5.1601,0.7499,1.5464,,,,,insufficient_history
2026-07-14,162.233,-1.865,0.0,5.1601,0.7499,1.5464,,,,,insufficient_history
