date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,9.3206,-0.105,0.0,21.8363,7.1702,-0.6155,,,,,insufficient_history
2026-06-04,9.3397,-0.072,0.0,21.8363,7.1702,-0.6155,,,,,insufficient_history
2026-06-05,9.4485,-0.13,2.0,21.8363,7.1702,-0.0374,,,,,insufficient_history
2026-06-08,9.4683,-0.135,1.0,21.8363,7.1702,-0.0374,,,,,insufficient_history
2026-06-09,9.504,-0.11,1.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
2026-06-10,9.4637,-0.12,2.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
2026-06-11,9.4767,-0.05,2.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
2026-06-12,9.5074,-0.105,0.0,21.8363,6.8376,-0.0374,,,,,insufficient_history
2026-06-15,9.5309,-0.185,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-16,9.4779,-0.135,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-17,9.6121,-0.171,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-18,9.7255,-0.146,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-22,9.6848,-0.185,0.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-23,9.7861,-0.216,1.0,21.8363,5.2636,-0.0374,,,,,insufficient_history
2026-06-24,9.8413,-0.126,1.0,22.2894,5.2636,-0.0374,,,,,insufficient_history
2026-06-25,9.8516,-0.178,1.0,22.2894,5.2636,-0.0374,,,,,insufficient_history
2026-06-26,9.9174,-0.116,1.0,22.2894,5.89,-0.0374,,,,,insufficient_history
2026-06-29,9.9246,-0.15,0.0,22.2894,5.89,-0.0374,,,,,insufficient_history
2026-06-30,9.8986,-0.195,0.0,22.2894,5.89,-0.0374,,,,,insufficient_history
2026-07-01,9.9096,-0.191,0.0,22.2894,5.89,-0.0374,,,,,insufficient_history
2026-07-02,9.8416,-0.17,1.0,22.2894,5.89,-0.0374,,,,,insufficient_history
2026-07-06,9.78,-0.171,0.0,22.2894,5.89,-0.0374,,,,,insufficient_history
