date,spot,rate_diff,stress,ca_diff,tb_diff,prod_diff,fair_value,z_score,lambda,fit,model_status
2026-06-03,9.3939,-1.617,0.0,6.9828,0.6054,0.9397,,,,,insufficient_history
2026-06-04,9.3676,-1.602,0.0,6.9828,0.6054,0.9397,,,,,insufficient_history
2026-06-05,9.452,-1.675,2.0,7.9111,0.6054,-0.2135,,,,,insufficient_history
2026-06-08,9.4252,-1.675,1.0,7.9111,0.6054,-0.2135,,,,,insufficient_history
2026-06-09,9.4644,-1.66,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-10,9.5094,-1.677,2.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-11,9.4324,-1.6,2.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-12,9.4368,-1.64,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-15,9.3733,-1.667,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-16,9.3522,-1.617,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-17,9.5012,-1.715,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-18,9.5797,-1.685,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-22,9.6019,-1.745,0.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-23,9.7314,-1.795,1.0,7.9111,0.2728,-0.2135,,,,,insufficient_history
2026-06-24,9.7351,-1.732,1.0,8.3642,0.2728,-0.2135,,,,,insufficient_history
2026-06-25,9.7264,-1.75,1.0,8.3642,0.2728,-0.2135,,,,,insufficient_history
2026-06-26,9.7172,-1.72,1.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-06-29,9.7075,-1.725,0.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-06-30,9.6951,-1.767,0.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-07-01,9.7259,-1.775,0.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-07-02,9.6759,-1.75,1.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-07-06,9.616,-1.722,0.0,8.3642,0.8992,-0.2135,,,,,insufficient_history
2026-07-07,9.6932,-1.75,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-08,9.6864,-1.665,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-09,9.6618,-1.665,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-10,9.6546,-1.705,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-13,9.7131,-1.725,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-14,9.6609,-1.66,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-15,9.5857,-1.607,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-16,9.6383,-1.625,0.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
2026-07-17,9.6451,-1.625,1.0,8.3642,0.5452,-0.2135,,,,,insufficient_history
